publish_date,content,time_24h,corrected_date,injury_severity,affected_party,collision,running_over_pedestrian,lost_control,crushed_into_obstacle,overturned,other,primary_accident_type_code,driver_ages,location,street,locality,day_of_week_num,rush_hour,rain_today,rain_last_3h,temp_avg,temp_min,temp_max,precip_mm_day,roadworks_nearby,primary_accident_type
2025-03-16,"This morning at around 0800hrs, a 40-year-old man from Ħaż-Żabbar, was hospitalised at Mater Dei following a traffic accident along the Coast Road in Naxxar.Preliminary investigations showed that the man was riding a Honda CBR motorcycle, lost control and crashed.He was assisted by a medical team and taken to hospital by an ambulance. Later he was certified with serious injuries.Magistrate Dr Joseph Mifsud LL.D was informed about the case and appointed a Magisterial Inquiry whilst Police investigation is still on going.",08:00,2025-03-16,serious,motorcyclist,0,0,1,1,0,0,FXOBJ,['40'],Mater Dei following a traffic accident along the Coast Road in Naxxar,Mater Dei following a traffic accident along the Coast Road in Naxxar,,6,0,False,False,15.8,12.3,19.4,0.0,False,crushed into an obstacle
2025-04-22,"An Italian woman was taken to Mater Dei Hospital for some injuries she suffered in a traffic accident in Cospicua Seafront, Cospicua at around 1300hrs.It resulted from initial investigations that the victim was hit by a Nissan March, which was being driven by a 48-year-old man from Kalkara.The woman was assisted by a medical team, taken to hospital by an ambulance and certified to have sustained grievous injuries.Police investigations are ongoing.",13:00,2025-04-22,grievous,pedestrian,0,1,0,0,0,0,PED,['48'],"Cospicua Seafront, Cospicua at around 1300hrs",Cospicua Seafront,Cospicua at around 1300hrs,1,0,False,False,17.7,12.6,22.5,0.0,False,running over pedestrian
2025-05-08,"A 32-year-old woman who lives in Għajnsielem, Gozo, at around 1015hrs, was taken to Mater Dei Hospital because she was injured in a traffic accident in Żabbar Road, Fgura.Preliminary investigations showed that the victim was hit by a Ford Fiesta, which was being driven by a 78-year-old man residing in Marsascala.The woman was assisted by a medical team, taken to hospital by ambulance and certified to have sustained grievous injuries.Police investigations are ongoing.",10:15,2025-05-08,grievous,pedestrian,0,1,0,0,0,0,PED,"['32', '78']","Għajnsielem, Gozo, at around 1015hrs, was taken to Mater Dei Hospital because she was injured in a traffic accident in Żabbar Road, Fgura","Għajnsielem, Gozo, at around 1015hrs, was taken to Mater Dei Hospital because she was injured in a traffic accident in Żabbar Road",Fgura,3,0,False,False,21.1,16.0,25.7,0.0,False,running over pedestrian
2025-06-14,"Yesterday evening, at around ten (2200 hrs), the Police were informed of a traffic accident in Triq Sant ‘Elizabetta, Xewkija.From initial investigations it appears that a 64-year-old man from Xagħra was riding a Kentoya motorcycle when he crashed into a barrier and fell off.He was assisted by a medical team and taken by ambulance to the Gozo General Hospital. He was later certified to have sustained grievous injuries.Police investigations are ongoing.",22:00,2025-06-13,grievous,motorcyclist,0,0,0,1,0,0,FXOBJ,['64'],,,,4,0,False,False,26.9,21.8,31.7,0.0,False,crushed into an obstacle
2025-09-21,"A 77-year-old woman residing in Valletta, at around 0830hrs, was taken to Mater Dei Hospital because she was injured in a traffic accident in Sa Maison Street, Tal-Pietà.Preliminary investigations showed that the victim was hit by a Hyundai I10, which was being driven by a 75-year-old man residing in Tas-Sliema.The woman was assisted by a medical team, taken to hospital by ambulance and certified that she was grievously injured.Police investigations are ongoing.",08:30,2025-09-21,grievous,pedestrian,0,1,0,0,0,0,PED,"['77', '75']","Valletta, at around 0830hrs, was taken to Mater Dei Hospital because she was injured in a traffic accident in Sa Maison Street, Tal-Pietà","Valletta, at around 0830hrs, was taken to Mater Dei Hospital because she was injured in a traffic accident in Sa Maison Street",Tal-Pietà,6,0,False,False,24.3,20.0,28.0,0.0,False,running over pedestrian
2025-02-21,"Two persons were injured in a collision which occurred early this morning in Triq il-Baċir, Paola.At around half past seven 0730hrs, when the Police were informed of a traffic accident in which a Toyota Ractis driver, an 80-year-old man from Paola, lost control and crashed into a wall. Another 80-year-old man from Paola was also a passenger in the same vehicle.A medical team was called on site and an ambulance took the two men to Mater Dei Hospital. They were later certified to have sustained grievous injuries.Police investigations into the accident are ongoing.",07:30,2025-02-21,grievous,driver,0,0,1,1,0,0,FXOBJ,"['80', '80']","Triq il-Baċir, Paola",Triq il-Baċir,Paola,4,1,True,False,12.7,9.4,16.0,0.8,False,crushed into an obstacle
2024-12-22,"A 13-year-old girl, at around 1015hrs, was taken to Mater Dei Hospital after being injured in a traffic accident in Triq Sir Philip Pullicino, Mtarfa.Preliminary investigations showed that the girl, who was riding a bicycle, was hit by a Ford B Max that was being driven by a 25-year-old man from Mtarfa.The girl was assisted by a medical team, taken to hospital by an ambulance and later certified to have sustained grievous injuries.Police investigations are ongoing",10:15,2024-12-22,grievous,pedestrian,0,1,0,0,0,0,PED,"['13', '25']","Triq Sir Philip Pullicino, Mtarfa",Triq Sir Philip Pullicino,Mtarfa,6,0,True,False,13.0,10.4,15.0,0.1,False,running over pedestrian
2025-02-21,"A 61-year-old coachman was grievously injured in an accident which occurred at around 1330 hrs in Triq Nazzjonali, Floriana.Preliminary investigations showed that a collision took place between a coachman who resides in Qormi and a Peugeot 508 driven by a 31-year-old man from Cospicua.A medical team was called on site and an ambulance took the man to Mater Dei Hospital. He was later certified to have sustained grievous injuries.Police investigations into the accident are ongoing.",13:30,2025-02-21,grievous,driver,1,0,0,0,0,0,COLL,"['61', '31']","Triq Nazzjonali, Floriana",Triq Nazzjonali,Floriana,4,0,True,True,12.7,9.4,16.0,0.8,False,collision
2025-09-14,"A 54-year-old man, a resident of Marsa, sustained serious injuries after he was involved in a traffic accident in Triq il-Perit Dom Mintoff, Paola yesterday at around 9pm (2100 hrs).From initial investigations it appears that for some reason the driver who was driving a Honda Fit lost control and crashed into an electricity pole.A medical team assisted the man and was taken to Mater Dei Hospital by ambulance.Magistrate Dr Monica Borg Galea LL.D. was informed and appointed an inquiry while Police investigations in connection with this incident are ongoing.",21:00,2025-09-13,serious,driver,0,0,1,1,0,0,FXOBJ,['54'],Triq il-Perit Dom Mintoff,Triq il-Perit Dom Mintoff,,5,0,False,False,26.1,23.0,29.7,0.0,False,crushed into an obstacle
2025-08-30,"Yesterday, at around quarter past three in the afternoon (1515 hrs), the Police were informed of a traffic accident in Triq Emmanuele Luigi Galizia, Marsa.Preliminary investigations showed that a collision occurred between a Daelim motorcycle driven by a 55-year-old man from Birżebbuġa and a BMW 318 driven by a 33-year-old woman from Luqa. A 74-year-old man from Luqa was passenger in the car.The motorcyclist was assisted by a medical team and taken to Mater Dei Hospital by ambulance, where he was later certified to have sustained grievous injuries.Police investigations are ongoing.",15:15,2025-08-29,grievous,motorcyclist,1,0,0,0,0,0,COLL,"['55', '33', '74']","Triq Emmanuele Luigi Galizia, Marsa",Triq Emmanuele Luigi Galizia,Marsa,4,0,False,False,27.1,25.0,30.0,0.0,False,collision
2024-12-14,"Yesterday, at around (1945hrs), the police were informed of a traffic accident in Dawret il-Gudja, Gudja.Preliminary investigations showed that a collision occurred between a Skoda Fabia driven by a 50-year-old man from Gudja and a Ford Fiesta, who at the time was on the side of the road with a puncture.At the time of the impact, a 29-year-old man from Birzebbugia was injured after he was trapped between the two vehicles.The victim was assisted by a medical team, taken to Mater Dei Hospital by ambulance and certified with serious injuries.Magistrate Dr Ian Farrugia LL. D was informed of the case and appointed an inquiry.Civil Protection Department personnel were also on site to assist.Police investigations are still ongoing.",19:45,2024-12-13,serious,driver,1,0,0,0,0,0,COLL,"['50', '29']","Dawret il-Gudja, Gudja",Dawret il-Gudja,Gudja,6,0,,False,18.8,16.9,21.0,,True,collision
2025-05-07,"A 53-year-old man who lives in Msida, at around 1000hrs, was taken to Mater Dei Hospital because he was injured in a traffic accident in Triq L. Zamenhof corner with Triq Xmiexi, Msida.Preliminary investigations showed that the man was hit by a Ford Transit, which was being driven by a 24-year-old man also residing in Msida.The man was assisted by a medical team, taken to hospital by ambulance and certified to have sustained grievous injuries.Police investigations are ongoing.",10:00,2025-05-07,grievous,pedestrian,0,1,0,0,0,0,PED,"['53', '24']","Msida, at around 1000hrs, was taken to Mater Dei Hospital because he was injured in a traffic accident in Triq L","Msida, at around 1000hrs",was taken to Mater Dei Hospital because he was injured in a traffic accident in Triq L,2,1,False,False,21.6,17.0,27.5,0.0,False,running over pedestrian
2025-05-07,"Today, at around 1315 hrs, the Police were informed of a traffic accident in Triq Għar Dalam, Birżebbuġa.Preliminary investigations showed that a collision occurred between a Peugeot partner that was being driven by a 23-year-old Albanian from Birżebbuġa and a Honda NSS motorcycle that was being driven by a 34-year-old man from Zejtun.A medical team was called on site and an ambulance took the biker to Mater Dei Hospital. He was later certified to have sustained grievous injuries.Police investigations into the accident are ongoing.",13:15,2025-05-07,grievous,motorcyclist,1,0,0,0,0,0,COLL,"['23', '34']","Triq Għar Dalam, Birżebbuġa",Triq Għar Dalam,Birżebbuġa,2,0,False,False,21.6,17.0,27.5,0.0,False,collision
2024-12-27,"Today, at about 0745hrs, the Police were informed of a traffic accident in Triq Diċembru Tlettax, Marsa.The Police went immediately on site and preliminary investigations showed that a 36-year-old Turkish national, resident in Zabbar, lost control of the Toyota Vitz he was driving and crashed into the barriers and a pole.The victim was assisted by a medical team, taken to Mater Dei Hospital by ambulance and certified to have sustained grievous injuries.Civil Protection Department personnel were also on site to assist.Police investigations are still ongoing.",07:45,2024-12-27,grievous,driver,0,0,1,1,0,0,FXOBJ,['36'],"Triq Diċembru Tlettax, Marsa",Triq Diċembru Tlettax,Marsa,4,1,True,False,13.4,10.3,16.2,0.3,False,crushed into an obstacle
2025-05-04,"A 43-year-old Nepalese man and residing in Msida, at around 1430hrs, was taken to Mater Dei Hospital because he was injured in a traffic accident in December 13 Road, Marsa.Preliminary investigations showed that the man was riding a Kymco motorcycle, lost control and crashed into a pole.He was assisted by a medical team, taken to hospital by ambulance and certified to have sustained serious injuries.Magistrate Dr Ian Farrugia LL.D was informed of the case and appointed an inquiry, while Police investigations are ongoing",14:30,2025-05-04,serious,motorcyclist,0,0,1,1,0,0,FXOBJ,['43'],"Msida, at around 1430hrs, was taken to Mater Dei Hospital because he was injured in a traffic accident in December 13 Road, Marsa","Msida, at around 1430hrs, was taken to Mater Dei Hospital because he was injured in a traffic accident in December 13 Road",Marsa,6,0,False,False,19.4,15.1,23.7,0.0,False,crushed into an obstacle
2025-01-07,"A 25-year-old man, a resident of Mtarfa, lost his life late last night in a traffic accident in Attard.The accident occurred at around 2120hrs in Triq L-Imdina.Preliminary investigations showed that the victim was driving a Mercedes, lost control and as a result the car crashed into a tree. Police, medical teams from Mater Dei and members of the Civil Protection Department were immediately called on site. Unfortunately, the man was certified dead on the spot.Magistrate Dr Ian Farrugia LL.D appointed an inquiry assisted by various experts, while Police investigations in connection with this incident are still ongoing.",21:20,2025-01-06,death,driver,0,0,1,1,0,0,FXOBJ,['25'],Attard,Attard,,0,0,False,False,15.9,12.4,18.1,0.0,False,crushed into an obstacle
2025-10-05,"Late yesterday evening, at around 11:00 p.m. (2300hrs), the Police were informed of a traffic accident in Triq Dawret il-Gudja, Gudja.Police immediately went to the scene, and from preliminary investigations it resulted that a collision had occurred between a Suzuki Baleno driven by a 49-year-old man from Swieqi and a Hyundai Getz driven by a 19-year-old from San Ġwann. Followwing the intial impact, the Hyundai veered into the opposite lane and collided with a Renault Captur.The Renault was driven by a 50-year-old man. Also inside the vehicle were two women aged 69 and 43, as well as a 14-year-old girl and a 14-year-old boy, all residents of Rabat.A medical team was called to the scene, and an ambulance took the 43-year-old woman together with the two children to Mater Dei Hospital. Later, the 14-year-old boy was certified to have suffered grievous injuries, while the girl and the 43-year-old woman suffered slight injuries.Police investigations into this accident are still ongoing.",23:00,2025-10-04,minor,driver,1,0,0,0,0,0,COLL,"['49', '19', '50', '14', '14', '43', '14', '43']","Triq Dawret il-Gudja, Gudja",Triq Dawret il-Gudja,Gudja,5,0,False,False,20.3,17.0,24.0,0.0,False,collision
2025-06-04,"Today, at around 0730hrs, the Police were informed of a traffic accident in Xatt l-Għassara tal-Għeneb, il-Marsa.Preliminary investigations showed that a collision occurred between a Ford Fiesta driven by a 39-year-old man residing in Xgħajra and a Honda motorcycle driven by a 35-year-old woman who lives in Dingli.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei Hospital, where she was certified to have sustained grievous injuries.Police investigations are ongoing.",07:30,2025-06-04,grievous,motorcyclist,1,0,0,0,0,0,COLL,"['39', '35']","Xatt l-Għassara tal-Għeneb, il-Marsa",Xatt l-Għassara tal-Għeneb,il-Marsa,2,1,False,False,22.7,18.2,27.4,0.0,False,collision
2025-09-17,"A 52-year-old man from Żurrieq, at around 2330hrs, was taken to Mater Dei Hospital after suffering injuries in a traffic accident in a parking lot on Triq il-Mina ta’ Hompesch, Ħaż-Żabbar.Initial investigations revealed that the victim was hit by a Toyota Vitz, which was being driven by a 26-year-old man resident in Kalkara.The man was treated by a medical team, taken to hospital by ambulance and certified as having suffered serious injuries.Magistrate Dr Philip Galea Farrugia LL.D was informed of the case and an inquiry was opened, while investigations by the Police are still ongoing.",23:30,2025-09-17,serious,pedestrian,0,1,0,0,0,0,PED,"['52', '26']","Triq il-Mina ta’ Hompesch, Ħaż-Żabbar",Triq il-Mina ta’ Hompesch,Ħaż-Żabbar,2,0,False,False,26.0,22.0,31.1,0.0,False,running over pedestrian
2025-04-18,"Today, at around 1330hrs, the Police were informed of a traffic accident in Triq Burmarrad, St Paul’s Bay.Preliminary investigations showed that a collision occurred between a Mazda Demio driven by a 31-year-old Czech Republic woman residing in Mosta and a Piaggio motorcycle driven by a 72-year-old man who lives in Birkirkara.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei Hospital. He was later certified to have sustained grievous injuries.Police investigations are ongoing.",13:30,2025-04-18,grievous,motorcyclist,1,0,0,0,0,0,COLL,"['31', '72']","Triq Burmarrad, St Paul’s Bay",Triq Burmarrad,St Paul’s Bay,6,0,False,False,16.6,10.6,21.5,0.0,False,collision
2025-07-07,"Yesterday, at around 1800hrs, the Police were informed of a traffic accident in Triq iż-Żejfa, Mosta.Preliminary investigations showed that a collision occurred between a Kia Sportage driven by a 34-year-old woman from Rabat and a Suzuki motorcycle driven by a 30-year-old Indian man who lives in Birkirkara.A medical team was called on site and an ambulance took the man to Mater Dei Hospital, where he was certified to be seriously injured.Magistrate Dr Joseph Mifsud LL.D was informed about the case who appointed an inquiry, while Police investigations are ongoing.",18:00,2025-07-06,serious,motorcyclist,1,0,0,0,0,0,COLL,"['34', '30']","Triq iż-Żejfa, Mosta",Triq iż-Żejfa,Mosta,6,0,False,False,29.3,23.7,36.5,0.0,False,collision
2025-04-17,"Today, at around 0930hrs, the Police were informed of a traffic accident in Tal-Barrani Road, Żejtun.The Police went immediately on site and preliminary investigations showed that a collision had occurred between a Mazda Demio driven by a 46-year-old man residing in Żejtun and a Honda motorcycle driven by a 79-year-old man also living in Żejtun.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei Hospital. He was later certified to have sustained grievous injuries.Police investigations are ongoing.",09:30,2025-04-17,grievous,motorcyclist,1,0,0,0,0,0,COLL,"['46', '79']","Tal-Barrani Road, Żejtun",Tal-Barrani Road,Żejtun,4,1,False,False,16.0,13.7,19.0,0.0,False,collision
2025-05-15,"A 22-year-old man and residing in Rabat, at around 1745hrs, was taken to Mater Dei Hospital because she was injured in a traffic accident in Regional Road, Santa Venera.Preliminary investigations showed that a collision occurred between a Toyota Vitz driven by a 19-year-old woman residing in Żurrieq and a Honda motorcycle driven by the victim.She was assisted by a medical team, taken to hospital by ambulance and certified to have sustained grievous injuries.Police investigations are ongoing.",17:45,2025-05-15,grievous,motorcyclist,1,0,0,0,0,0,COLL,"['22', '19']","Rabat, at around 1745hrs, was taken to Mater Dei Hospital because she was injured in a traffic accident in Regional Road, Santa Venera","Rabat, at around 1745hrs, was taken to Mater Dei Hospital because she was injured in a traffic accident in Regional Road",Santa Venera,3,1,True,False,18.7,17.8,21.1,6.1,False,collision
2025-06-22,"On Thursday 19th June, at around ten in the evening (2200 hrs), the Police were informed of a traffic accident in Triq L-Imdina, Ħaż-Żebbuġ.Initial investigations showed that a collision occurred between a Renault Captur driven by a 57-year-old man from Dingli and a Honda Civic driven by a 32-year-old man from Luqa. A 28-year-old woman, a resident of Attard, was a passenger in the Honda.They were assisted by a medical team and members of the Civil Protection Department.All persons were taken to Mater Dei Hospital by ambulance. Shortly afterwards, the 32-year-old man was certified dead.The other man and the woman sustained grievous injuries.Magistrate Dr Antoine Agius Bonnici LL. D was informed of the case and appointed an inquiry.Police investigations are ongoing.",22:00,2025-06-22,grievous,driver,1,0,0,0,0,0,COLL,"['57', '32', '28', '32']","Triq L-Imdina, Ħaż-Żebbuġ",Triq L-Imdina,Ħaż-Żebbuġ,6,0,False,False,27.3,22.3,31.6,0.0,False,collision
2025-09-16,"A 44-year-old Japanese woman who resides in Birkirkara, at around 1930hrs, was taken to Mater Dei Hospital because she was injured in a traffic accident in Triq San Pawl, St Paul’s Bay.Preliminary investigations showed that a 44-year-old German man who lives in St Julian’s was driving a Voge 300Rally motorcycle, lost control and fell. The woman was a pillion rider on the motorcycle.They were assisted by a medical team, and the woman was taken to hospital by ambulance where she was certified to have sustained grievous injuries.Police investigations are ongoing.",19:30,2025-09-16,grievous,motorcyclist,0,0,1,0,0,0,LOC,"['44', '44']","Birkirkara, at around 1930hrs, was taken to Mater Dei Hospital because she was injured in a traffic accident in Triq San Pawl, St Paul’s Bay","Birkirkara, at around 1930hrs, was taken to Mater Dei Hospital because she was injured in a traffic accident in Triq San Pawl",St Paul’s Bay,1,0,False,False,25.5,21.0,30.0,0.0,False,lost control of the vehicle
2025-08-19,"A 75-year-old man who lives in Zabbar, at around 1600hrs of yesterday afternoon, was taken to Mater Dei Hospital because he was injured in a traffic accident in Luqa Road, Paola.Preliminary investigations showed that the man was hit by a Nissan March, which was being driven by a 29-year-old man residing in Santa Lucija.The elderly man was assisted by a medical team, taken to hospital by ambulance and certified to have sustained grievous injuries.Police investigations are ongoing.",16:00,2025-08-18,grievous,pedestrian,0,1,0,0,0,0,PED,"['75', '29']","Zabbar, at around 1600hrs of yesterday afternoon, was taken to Mater Dei Hospital because he was injured in a traffic accident in Luqa Road, Paola","Zabbar, at around 1600hrs of yesterday afternoon, was taken to Mater Dei Hospital because he was injured in a traffic accident in Luqa Road",Paola,0,1,False,False,26.6,22.8,31.7,0.0,False,running over pedestrian
2025-09-24,"Today, at around 0800 hrs, the Police were informed of a traffic accident in Triq Marsalforn, Żebbuġ, Gozo.From initial investigations, it showed that an 82-year-old man from Ħaż-Żabbar lost control of the Toyota Corolla he was driving and crashed into a wall. An 81-year-old woman from Santa Venera was also in the vehicle.The woman was assisted by a medical team on site and taken to Gozo General Hospital by an ambulance, where she was certified to have sustained grievous injuries.The Police are carrying out investigations.",08:00,2025-09-24,grievous,driver,0,0,1,1,0,0,FXOBJ,"['82', '81']","Triq Marsalforn, Żebbuġ, Gozo","Triq Marsalforn, Żebbuġ",Gozo,2,1,True,True,25.6,22.0,29.0,0.4,False,crushed into an obstacle
2025-01-24,"A 36-year-old Italian man, residing in Birkirkara, lost his life late last night in a traffic accident in Msida.The accident happened at around 2015hrs in Mikiel Anton Vassalli Street.From initial investigations it appears that the man was riding a Honda motorcycle and while he was in the tunnel, he lost control, crashed into the wall and fell.The victim was immediately assisted by a medical team and taken to Mater Dei Hospital by ambulance. Unfortunately, he was certified dead shortly afterwards.Magistrate Dr Philip Galea Farrugia LL. D was informed of the case and appointed an inquiry.Police investigations are still ongoing.",20:15,2025-01-23,death,driver,0,0,1,1,0,0,FXOBJ,['36'],"Birkirkara, lost his life late last night in a traffic accident in Msida",Birkirkara,lost his life late last night in a traffic accident in Msida,3,0,False,False,15.7,14.0,18.7,0.0,False,crushed into an obstacle
2025-02-15,"Today, at around midnight (0000 hrs), the Police were informed of a traffic accident in Valley Road, Iklin.From preliminary investigations it resulted that a collision occurred between a Toyota Passo driven by a 42-year-old woman from St Paul’s Bay and a Keeway motorcycle driven by a 39-year-old man from Lija.The motorcyclist was assisted by a medical team and taken to Mater Dei Hospital by ambulance. He was later certified to have sustained grievous injuries.The Police are investigating the case.",00:00,2025-02-15,grievous,motorcyclist,1,0,0,0,0,0,COLL,"['42', '39']","Valley Road, Iklin",Valley Road,Iklin,5,0,True,False,13.8,12.0,17.1,0.5,False,collision
